,experience_level,employment_type,salary_in_usd,company_location_fact,employee_residence_fact,job_title_fact
786,1,1,4800.0,1,1,4
787,1,1,9600.0,1,1,4
788,1,1,4896.0,1,1,4
789,1,1,7488.0,1,1,4
790,1,1,16800.0,1,1,4
791,1,1,4800.0,1,1,4
792,1,1,2889.216,1,1,4
793,1,1,6000.0,1,1,4
794,1,1,3600.0,1,1,4
795,1,1,4800.0,1,1,4
796,1,1,7200.0,1,1,4
797,1,1,3600.0,1,1,4
798,1,1,12000.0,1,1,4
799,1,1,2592.0,1,1,4
800,1,1,9600.0,1,1,4
801,1,1,6912.0,1,1,4
802,1,1,8640.0,1,1,4
803,1,1,24000.0,1,1,4
804,1,1,7200.0,1,1,4
805,1,1,8928.0,1,1,4
806,3,3,14400.0,1,1,4
807,1,1,2592.0,1,1,4
808,1,1,13200.0,1,1,4
809,1,1,4800.0,1,1,4
810,1,1,3600.0,1,1,4
